id;titre;statut;description;disponibilite;image_en_avant;image_en_avant_content_type;created_at
1;incentivize capacitor;false;bandwidth Vaneau;MERCREDI;../fake-data/blob/hipster.png;image/png;2022-02-21
2;Picardie b auxiliary;false;azure Bedfordshire Moroccan;MERCREDI;../fake-data/blob/hipster.png;image/png;2022-02-21
3;a;false;up e-markets Rubber;MERCREDI;../fake-data/blob/hipster.png;image/png;2022-02-21
4;Bulgarie Small Belize;false;THX;VENDREDI;../fake-data/blob/hipster.png;image/png;2022-02-21
5;Chicken incubate Rubber;true;Loan b quantify;VENDREDI;../fake-data/blob/hipster.png;image/png;2022-02-21
6;b clicks-and-mortar;true;Card open-source connecting;SAMEDI;../fake-data/blob/hipster.png;image/png;2022-02-21
7;Languedoc-Roussillon Robust;false;generation d'Azur Agent;MARDI;../fake-data/blob/hipster.png;image/png;2022-02-21
8;b maroon pink;false;e-commerce SMTP;SAMEDI;../fake-data/blob/hipster.png;image/png;2022-02-21
9;Saint-Dominique;false;yellow Account Tools;JEUDI;../fake-data/blob/hipster.png;image/png;2022-02-21
10;Concrete Ergonomic;true;Incredible deposit;VENDREDI;../fake-data/blob/hipster.png;image/png;2022-02-21
