id;nom;quantite;prix;photo;photo_content_type;created_at
1;conglomeration Table driver;90798;23831;../fake-data/blob/hipster.png;image/png;2022-02-21
2;compress Cambridgeshire;87545;86858;../fake-data/blob/hipster.png;image/png;2022-02-20
3;logistical Movies;44007;79392;../fake-data/blob/hipster.png;image/png;2022-02-21
4;auxiliary Loan c;17517;58496;../fake-data/blob/hipster.png;image/png;2022-02-21
5;Plastic;75966;61480;../fake-data/blob/hipster.png;image/png;2022-02-21
6;Soap Sausages;17906;43523;../fake-data/blob/hipster.png;image/png;2022-02-21
7;navigate back Cheese;86777;64198;../fake-data/blob/hipster.png;image/png;2022-02-21
8;Lepic;30386;28839;../fake-data/blob/hipster.png;image/png;2022-02-20
9;Account Buckinghamshire;75433;14524;../fake-data/blob/hipster.png;image/png;2022-02-21
10;B2C Beauty Ball;1228;9660;../fake-data/blob/hipster.png;image/png;2022-02-21
