id;image;image_content_type;video;video_content_type;description;statut
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Salad Frozen;true
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Sports mobile;true
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Home fuchsia;false
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Oberkampf Steel;true
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;c Maroc Cuban;false
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;a magnetic;true
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RAM Gloves Account;false
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;backing;true
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Loan;true
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Marcadet bandwidth Incredible;true
